module,en_start,en_end_exclusive,boundary_map,source_reconstruction,byte_perfect_all_releases,notes
vblank,0x0150,0x032E,mapped,draft,no,shared source with BUILD_JP cutscene branch; ROM structural regression passes; full RGBDS assembly verification pending
delay,0x032E,0x0343,mapped,complete,no,all 21 bytes accounted for across 8 releases by deterministic regression; full RGBDS assembly verification pending
time_palettes,0x0343,0x0360,mapped,complete,no,shared semantic source; per-release relocation bytes verified by module SHA-1 regression; full RGBDS assembly verification pending
fade,0x0360,0x041B,mapped,complete,no,shared semantic source and palette tables; 8-release module SHA-1 regression passes; full RGBDS assembly verification pending
lcd,0x041B,0x045B,mapped,complete,no,shared source with BUILD_KR LY/VBlank guard; 8-release module SHA-1 regression passes; full RGBDS assembly verification pending
time,0x045B,0x05B0,mapped,complete,no,shared source with BUILD_JP FixDays carry difference; 8-release module SHA-1 regression present; full RGBDS assembly verification pending
init,0x05B0,0x06AA,mapped,complete,no,shared source with BUILD_KR AGB detection and alternate HRAM/BG-map initialization; 8-release module SHA-1 regression present; full RGBDS assembly verification pending
serial,0x06AA,0x08DF,mapped,complete,no,shared source with BUILD_KR link timing changes; 8-release module SHA-1 regression present; full RGBDS assembly verification pending
joypad,0x08DF,0x0AF0,mapped,complete,no,shared source with BUILD_JP omissions for $ff auto-input duration and PromptButton auto dispatch; 8-release module SHA-1 regression passes; full RGBDS assembly verification pending
decompress,0x0AF0,0x0BDF,mapped,complete,no,shared LZ3 source across all releases; all modules 239 bytes; EN/DE/FR/IT/ES are byte-identical; 8-release SHA-1 regression passes; full RGBDS assembly verification pending
palettes,0x0BDF,0x0D70,mapped,pending,no,
gfx,0x0D70,0x0EBD,mapped,pending,no,
text,0x0EBD,0x1458,mapped,pending,no,
video,0x1458,0x169C,mapped,pending,no,
map_objects,0x169C,0x19AC,mapped,pending,no,
sine,0x19AC,0x19BB,mapped,pending,no,
movement,0x19BB,0x1A4E,mapped,pending,no,
menu,0x1A4E,0x1EB3,mapped,pending,no,
printer,0x1EB3,0x1EE6,mapped,pending,no,
game_time,0x1EE6,0x1F5D,mapped,pending,no,
map,0x1F5D,0x2E27,mapped,pending,no,
farcall,0x2E27,0x2E49,mapped,pending,no,
predef,0x2E49,0x2E80,mapped,pending,no,
window,0x2E80,0x2F2F,mapped,pending,no,
flag,0x2F2F,0x2F93,mapped,pending,no,
sprite_updates,0x2F93,0x2FB6,mapped,pending,no,
string,0x2FB6,0x2FD7,mapped,pending,no,
region,0x2FD7,0x3055,mapped,pending,no,
item,0x3055,0x30A2,mapped,pending,no,
random,0x30A2,0x30E1,mapped,pending,no,
sram,0x30E1,0x30FC,mapped,pending,no,
call_regs,0x30FC,0x30FF,mapped,pending,no,
clear_sprites,0x30FF,0x311A,mapped,pending,no,
copy,0x311A,0x3158,mapped,pending,no,
copy_tilemap,0x3158,0x317B,mapped,pending,no,
copy_name,0x317B,0x3186,mapped,pending,no,
array,0x3186,0x31A3,mapped,pending,no,
math,0x31A3,0x31E2,mapped,pending,no,
print_text,0x31E2,0x3423,mapped,pending,no,
queue_script,0x3423,0x3431,mapped,pending,no,
compare,0x3431,0x3449,mapped,pending,no,
tilemap,0x3449,0x35C3,mapped,pending,no,
pokedex_flags,0x35C3,0x35EE,mapped,pending,no,
names,0x35EE,0x3751,mapped,pending,no,
scrolling_menu,0x3751,0x37AC,mapped,pending,no,
stone_queue,0x37AC,0x3844,mapped,pending,no,
trainers,0x3844,0x39BA,mapped,pending,no,
pokemon,0x39BA,0x3ADE,mapped,pending,no,
print_bcd,0x3ADE,0x3B3A,mapped,pending,no,
battle,0x3B3A,0x3D0D,mapped,pending,no,
sprite_anims,0x3D0D,0x3D4F,mapped,pending,no,
audio,0x3D4F,0x4000,mapped,pending,no,
