locale,label,start,end_exclusive,size,decoded,hex
en,TMCharText,0x113B,0x113E,3,TM@,93 8C 50
en,TrainerCharText,0x113E,0x1146,8,TRAINER@,93 91 80 88 8D 84 91 50
en,PCCharText,0x1146,0x1149,3,PC@,8F 82 50
en,RocketCharText,0x1149,0x1150,7,ROCKET@,91 8E 82 8A 84 93 50
en,PlacePOKeText,0x1150,0x1155,5,POKé@,8F 8E 8A EA 50
en,KougekiText,0x1155,0x115A,5,こうげき@,BA B3 29 B7 50
en,SixDotsCharText,0x115A,0x115D,3,……@,75 75 50
en,EnemyText,0x115D,0x1164,7,Enemy @,84 AD A4 AC B8 7F 50
en,PlacePKMNText,0x1164,0x1167,3,<PK><MN>@,E1 E2 50
en,PlacePOKEText,0x1167,0x116A,3,<PO><KE>@,70 71 50
en,String_Space,0x116A,0x116C,2, @,7F 50
en,DummiedText,0x116C,0x116D,1,@,50
de,TMCharText,0x114C,0x114F,3,TM@,93 8C 50
de,TrainerCharText,0x114F,0x1157,8,TRAINER@,93 91 80 88 8D 84 91 50
de,PCCharText,0x1157,0x115A,3,PC@,8F 82 50
de,RocketCharText,0x115A,0x1161,7,ROCKET@,91 8E 82 8A 84 93 50
de,PlacePOKeText,0x1161,0x1166,5,POKé@,8F 8E 8A EA 50
de,KougekiText,0x1166,0x116B,5,こうげき@,BA B3 29 B7 50
de,SixDotsCharText,0x116B,0x116E,3,……@,75 75 50
de,EnemyText,0x116E,0x1175,7,Gegn. @,86 A4 A6 AD E8 7F 50
de,PlacePKMNText,0x1175,0x1178,3,<PK><MN>@,E1 E2 50
de,PlacePOKEText,0x1178,0x117B,3,<PO><KE>@,70 71 50
de,String_Space,0x117B,0x117D,2, @,7F 50
de,DummiedText,0x117D,0x1180,3,-<LF>@,E3 22 50
fr,TMCharText,0x113B,0x113D,2,T@,93 50
fr,TrainerCharText,0x113D,0x1146,9,DRESSEUR@,83 91 84 92 92 84 94 91 50
fr,PCCharText,0x1146,0x1149,3,PC@,8F 82 50
fr,RocketCharText,0x1149,0x1150,7,ROCKET@,91 8E 82 8A 84 93 50
fr,PlacePOKeText,0x1150,0x1155,5,POKé@,8F 8E 8A EA 50
fr,KougekiText,0x1155,0x115A,5,こうげき@,BA B3 29 B7 50
fr,SixDotsCharText,0x115A,0x115D,3,……@,75 75 50
fr,EnemyText,0x115D,0x1165,8, ennemi@,7F A4 AD AD A4 AC A8 50
fr,PlacePKMNText,0x1165,0x1168,3,<PK><MN>@,E1 E2 50
fr,PlacePOKEText,0x1168,0x116B,3,<PO><KE>@,70 71 50
fr,String_Space,0x116B,0x116D,2, @,7F 50
fr,DummiedText,0x116D,0x116E,1,@,50
it,TMCharText,0x114A,0x114C,2,T@,93 50
it,TrainerCharText,0x114C,0x1153,7,ALLEN.@,80 8B 8B 84 8D E8 50
it,PCCharText,0x1153,0x1156,3,PC@,8F 82 50
it,RocketCharText,0x1156,0x115D,7,ROCKET@,91 8E 82 8A 84 93 50
it,PlacePOKeText,0x115D,0x1162,5,POKé@,8F 8E 8A EA 50
it,KougekiText,0x1162,0x1167,5,こうげき@,BA B3 29 B7 50
it,SixDotsCharText,0x1167,0x116A,3,……@,75 75 50
it,EnemyText,0x116A,0x1172,8, nemico@,7F AD A4 AC A8 A2 AE 50
it,PlacePKMNText,0x1172,0x1175,3,<PK><MN>@,E1 E2 50
it,PlacePOKEText,0x1175,0x1178,3,<PO><KE>@,70 71 50
it,String_Space,0x1178,0x117A,2, @,7F 50
it,DummiedText,0x117A,0x117D,3,-<LF>@,E3 22 50
es,TMCharText,0x114D,0x114F,2,T@,93 50
es,TrainerCharText,0x114F,0x1157,8,ENTREN.@,84 8D 93 91 84 8D E8 50
es,PCCharText,0x1157,0x115A,3,PC@,8F 82 50
es,RocketCharText,0x115A,0x1161,7,ROCKET@,91 8E 82 8A 84 93 50
es,PlacePOKeText,0x1161,0x1166,5,POKé@,8F 8E 8A EA 50
es,KougekiText,0x1166,0x116B,5,こうげき@,BA B3 29 B7 50
es,SixDotsCharText,0x116B,0x116E,3,……@,75 75 50
es,EnemyText,0x116E,0x1175,7,Enem. @,84 AD A4 AC E8 7F 50
es,PlacePKMNText,0x1175,0x1178,3,<PK><MN>@,E1 E2 50
es,PlacePOKEText,0x1178,0x117B,3,<PO><KE>@,70 71 50
es,String_Space,0x117B,0x117D,2, @,7F 50
es,DummiedText,0x117D,0x1180,3,-<LF>@,E3 22 50
